group,amp_real,tau_real,sf_asym_real,amp_sim,tau_sim,sf_asym_sim,band
BAL,0.10138408099363024,186.93855588162637,0.16032388215502713,0.10138408099363024,186.93855588162637,0.15068315858714643,g
BAL,0.21983902990439586,1.4103750584576487,0.39300802014589636,0.21983902990439586,1.4103750584576487,0.3085956579866609,g
BAL,0.06331103436681623,0.7544933338041728,0.17991479999999926,0.06331103436681623,0.7544933338041728,0.08235523561552419,g
BAL,0.11330058545750635,24.785914999703298,0.2529084114061844,0.11330058545750635,24.785914999703298,0.15087817239153326,g
BAL,0.10052318684544416,6.896218775238902e-05,0.25345960574999954,0.10052318684544416,6.896218775238902e-05,0.1268118937207354,g
BAL,0.0951120912391248,421.2560082167223,0.13641735899999985,0.0951120912391248,421.2560082167223,0.09222670903194327,g
BAL,0.05523481762490693,58.477083750458604,0.11846340538166666,0.05523481762490693,58.477083750458604,0.06404278397718369,g
BAL,0.09863473353738202,1.7571529859441908,0.24076439357960963,0.09863473353738202,1.7571529859441908,0.128534216365103,g
BAL,0.06611810685358888,21.81170496721508,0.1762574916204312,0.06611810685358888,21.81170496721508,0.10153339276244058,g
BAL,0.13772603342691275,146.11507429199034,0.22348853882189018,0.13772603342691275,146.11507429199034,0.2234297672035223,g
BAL,0.058102064482171846,38.70814851218298,0.1844954146499765,0.058102064482171846,38.70814851218298,0.09520215046913869,g
BAL,0.16684687186484687,104.95090456290927,0.450873006082553,0.16684687186484687,104.95090456290927,0.23466483789341128,g
BAL,0.1874085274706141,0.0004193672818266053,0.3733813728062174,0.1874085274706141,0.0004193672818266053,0.2339454984790177,g
BAL,0.18576558831672207,1.2311274691879812,0.5225998474317868,0.18576558831672207,1.2311274691879812,0.2791498629282007,g
BAL,0.12068692554338672,0.0002492679601561968,0.28791910228529083,0.12068692554338672,0.0002492679601561968,0.13467206619404964,g
BAL,0.10479278907925674,1.2160511616560827,0.23396167765414513,0.10479278907925674,1.2160511616560827,0.1263189720256108,g
BAL,0.0776550984888955,41.98293279583857,0.15837000051381897,0.0776550984888955,41.98293279583857,0.14591836217523302,g
BAL,0.11694904493008935,1.7123946770302423,0.25521477979940377,0.11694904493008935,1.7123946770302423,0.15662212602082207,g
BAL,0.13071418098973114,2.149738066692489,0.2490641942789119,0.13071418098973114,2.149738066692489,0.16906943209090378,g
BAL,0.14633841836827383,2.4944967957639714,0.3242433696924533,0.14633841836827383,2.4944967957639714,0.19923228994913977,g
